section,phase,status,entity_type,code,station_id,station_name,track,spot,rpt_station,remarks,shipment_code,proposed_shipment_code,flow,via,layout_industry,island_spot,party_name,route_from,route_to,commodity,car_type,current_load_loc,current_unload_loc,proposed_load_loc,proposed_unload_loc,dest_station_id,dest_station_name,special_instructions,tables_affected,decision_notes
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,"Phase 3: POHC↔CSX through traffic — no Neville Island spotting. Cars load/unload at Offline party codes on the interchange yards, same naming as island locals.",locations;shipments;generate_hart_seed.py,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,POHC→CSX (RouteChain POHC): load SCL-IN-{party} @ Scully → unload DEM-OUT-{party} @ Demmler. dest_station_id=14 (Mckeesport PA) for pickup criteria.,,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,CSX→POHC (RouteChain CSX): load DEM-IN-{party} @ Demmler → unload SCL-OUT-{party} @ Scully. dest_station_id=15 (McKees Rock PA) for pickup criteria.,,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,Reuse existing Offline codes from Phases 1–2 when the same party appears on the correct side; add new codes only for IX-only parties or opposite-side reuse.,hart_scully_nville_shipping_map_proposed.csv,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,Shipment codes: IX-{COMMODITY}-{ORIGIN}-{DEST} per hart_shipment_code_renames_proposed.csv. special_instructions POHC->CSX or CSX->POHC.,shipments,,,
location,3_ix_through,proposed,location,ALLEGHEN-SLAB-MK,14,Mckeesport-PA,Staging,IN,"Allegheny Ludlum (Brackenridge, PA)",Allegheny Ludlum,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,BETHLEHM-PLAT,14,Mckeesport-PA,Staging,IN,"Bethlehem Steel (Bethlehem, PA)",Bethlehem Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,CALGON-IN,14,Mckeesport-PA,Staging,IN,"Calgon Corp (Columbus, OH)",Calgon Corp,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,DUBUQUE-MEAT,14,Mckeesport-PA,Staging,IN,"Dubuque Packing Co (Dubuque, IA)",Dubuque Packing Co,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GENLCHEM-HCLA,14,Mckeesport-PA,Staging,IN,"General Chemical (Parsippany, NJ)",General Chemical,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GENLCHEM-PHOS,14,Mckeesport-PA,Staging,IN,"General Chemical (Parsippany, NJ)",General Chemical,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,REPUBLIC-BILL-MK,14,Mckeesport-PA,Staging,IN,"Republic Steel (Cleveland, OH)",Republic Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,REPUBLIC-COIL-MK,14,Mckeesport-PA,Staging,IN,"Republic Steel (Cleveland, OH)",Republic Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,STDFORGE-FORG,14,Mckeesport-PA,Staging,IN,Standard Forged Products (McKees Rocks-PA),Standard Forged Products,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,UNIVSS-SBAR,14,Mckeesport-PA,Staging,IN,"Universal Stainless & Alloy (Bridgeville, PA)",Universal Stainless & Alloy,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WEIRTON-SLAB,14,Mckeesport-PA,Staging,IN,"Weirton Steel (Weirton, WV)",Weirton Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WEIRTON-COIL,14,Mckeesport-PA,Staging,IN,"Weirton Steel (Weirton, WV)",Weirton Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,ARMCO-SLAB,14,Mckeesport-PA,Staging,OUT,"Armco Steel (Middletown, OH)",Armco Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,CATERPIL-FORG,14,Mckeesport-PA,Staging,OUT,"Caterpillar (Peoria, IL)",Caterpillar,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,JOHNDEER-COIL,14,Mckeesport-PA,Staging,OUT,"John Deere (Moline, IL)",John Deere,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,DUPONT-MMA,14,Mckeesport-PA,Staging,OUT,"DuPont (Wilmington, DE)",DuPont,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-ARGN,14,Mckeesport-PA,Staging,OUT,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GRAYBAR-TUBE,14,Mckeesport-PA,Staging,OUT,"Graybar Electric (St. Louis, MO)",Graybar Electric,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HEINZ-PHOS,14,Mckeesport-PA,Staging,OUT,"Heinz (Pittsburgh, PA)",Heinz,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HEINZ-TINP,14,Mckeesport-PA,Staging,OUT,"Heinz (Pittsburgh, PA)",Heinz,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HOLCIM-CEMT,14,Mckeesport-PA,Staging,OUT,"Holcim (Buffalo, NY)",Holcim,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,KNOUSE-CEMT,14,Mckeesport-PA,Staging,OUT,"Knouse Foods (Orrtanna, PA)",Knouse Foods,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,KNOUSE-IGAS,14,Mckeesport-PA,Staging,OUT,"Knouse Foods (Orrtanna, PA)",Knouse Foods,,,,,,,,,,,,,,,,,,,,
